datetime,transaction_id,transaction_desc,customer_number,age,gender,receipt_number,product_id,product_name,units_sold,unit_price_sgd,total_amount_per_product_sgd,receipt_total_sgd,country_id,country,city,discount_period,discount_percentage,discount_applied,day_of_week,month,hour,year,day_of_week_text,month_text,day_of_week_sin,day_of_week_cos,month_sin,month_cos,hour_sin,hour_cos
1900-01-01 10:29:00,Sales,Product Sale,100001,35,Male,200001,P011,Sparkling Water,1,1.17,1.17,1.17,C002,Malaysia,Kuala Lumpur,NEWYEAR,50,True,0,1,10,1900,MON,JAN,0.0,1.0,0.4999999999999999,0.8660254037844387,0.4999999999999999,-0.8660254037844387
1900-01-01 17:26:00,Sales,Product Sale,100002,18,Female,200002,P006,Sony Xperia 5,1,487.26,487.26,489.22,C005,Vietnam,Ho Chi Minh City,NEWYEAR,50,True,0,1,17,1900,MON,JAN,0.0,1.0,0.4999999999999999,0.8660254037844387,-0.9659258262890684,-0.2588190451025206
1900-01-01 11:45:00,Sales,Product Sale,100002,18,Female,200002,P010,Water,2,0.98,1.96,489.22,C005,Vietnam,Ho Chi Minh City,NEWYEAR,50,True,0,1,11,1900,MON,JAN,0.0,1.0,0.4999999999999999,0.8660254037844387,0.258819045102521,-0.9659258262890682
1900-01-01 09:32:00,Sales,Product Sale,100003,70,Male,200003,P015,HP Spectre x360,2,895.83,1791.67,6539.75,C003,Indonesia,Jakarta,NEWYEAR,50,True,0,1,9,1900,MON,JAN,0.0,1.0,0.4999999999999999,0.8660254037844387,0.7071067811865476,-0.7071067811865475
1900-01-01 17:31:00,Sales,Product Sale,100003,70,Male,200003,P016,Lenovo ThinkPad X1,3,1000.77,3002.3,6539.75,C003,Indonesia,Jakarta,NEWYEAR,50,True,0,1,17,1900,MON,JAN,0.0,1.0,0.4999999999999999,0.8660254037844387,-0.9659258262890684,-0.2588190451025206
1900-01-01 18:12:00,Sales,Product Sale,100003,70,Male,200003,P006,Sony Xperia 5,2,487.1,974.19,6539.75,C003,Indonesia,Jakarta,NEWYEAR,50,True,0,1,18,1900,MON,JAN,0.0,1.0,0.4999999999999999,0.8660254037844387,-1.0,-1.8369701987210294e-16
1900-01-01 21:06:00,Sales,Product Sale,100003,70,Male,200003,P004,OnePlus 9,2,385.79,771.59,6539.75,C003,Indonesia,Jakarta,NEWYEAR,50,True,0,1,21,1900,MON,JAN,0.0,1.0,0.4999999999999999,0.8660254037844387,-0.7071067811865477,0.7071067811865474
1900-01-01 17:50:00,Sales,Product Sale,100004,57,Female,200004,P011,Sparkling Water,1,1.27,1.27,1498.4,C004,Thailand,Bangkok,NEWYEAR,50,True,0,1,17,1900,MON,JAN,0.0,1.0,0.4999999999999999,0.8660254037844387,-0.9659258262890684,-0.2588190451025206
1900-01-01 18:52:00,Sales,Product Sale,100004,57,Female,200004,P019,Microsoft Surface Pro 7,3,499.04,1497.13,1498.4,C004,Thailand,Bangkok,NEWYEAR,50,True,0,1,18,1900,MON,JAN,0.0,1.0,0.4999999999999999,0.8660254037844387,-1.0,-1.8369701987210294e-16
1900-01-01 13:16:00,Sales,Product Sale,100005,45,200005,P002,Samsung Galaxy S21,1,471.88,471.88,471.88,C010,Laos,NEWYEAR,50,True,0,1,13,1900,MON,JAN,0.0,1.0,0.4999999999999999,0.8660254037844387,-0.2588190451025208,-0.9659258262890684
1900-01-01 10:14:00,Sales,Product Sale,100006,34,200006,P008,Nokia 8.3,3,335.39,1006.17,2470.28,C008,Myanmar,NEWYEAR,50,True,0,1,10,1900,MON,JAN,0.0,1.0,0.4999999999999999,0.8660254037844387,0.4999999999999999,-0.8660254037844387
1900-01-01 14:43:00,Sales,Product Sale,100006,34,200006,P005,Xiaomi Mi 11,3,347.4,1042.21,2470.28,C008,Myanmar,NEWYEAR,50,True,0,1,14,1900,MON,JAN,0.0,1.0,0.4999999999999999,0.8660254037844387,-0.4999999999999998,-0.8660254037844388
1900-01-01 11:47:00,Sales,Product Sale,100006,34,200006,P018,Samsung Galaxy Tab S7,1,421.9,421.9,2470.28,C008,Myanmar,NEWYEAR,50,True,0,1,11,1900,MON,JAN,0.0,1.0,0.4999999999999999,0.8660254037844387,0.258819045102521,-0.9659258262890682
1900-01-01 17:22:00,Sales,Product Sale,100007,50,200007,P010,Water,3,0.98,2.95,3759.42,C004,Thailand,NEWYEAR,50,True,0,1,17,1900,MON,JAN,0.0,1.0,0.4999999999999999,0.8660254037844387,-0.9659258262890684,-0.2588190451025206
1900-01-01 07:30:00,Sales,Product Sale,100007,50,200007,P003,Google Pixel 6,3,326.58,979.75,3759.42,C004,Thailand,NEWYEAR,50,True,0,1,7,1900,MON,JAN,0.0,1.0,0.4999999999999999,0.8660254037844387,0.9659258262890684,-0.2588190451025206
1900-01-01 06:48:00,Sales,Product Sale,100007,50,200007,P007,Oppo Find X3,3,559.75,1679.26,3759.42,C004,Thailand,NEWYEAR,50,True,0,1,6,1900,MON,JAN,0.0,1.0,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17
1900-01-01 14:38:00,Sales,Product Sale,100007,50,200007,P017,iPad Pro,2,548.73,1097.46,3759.42,C004,Thailand,NEWYEAR,50,True,0,1,14,1900,MON,JAN,0.0,1.0,0.4999999999999999,0.8660254037844387,-0.4999999999999998,-0.8660254037844388
1900-01-01 08:34:00,Sales,Product Sale,100008,49,200008,P012,Iced Tea,1,1.45,1.45,1.45,C009,Cambodia,NEWYEAR,50,True,0,1,8,1900,MON,JAN,0.0,1.0,0.4999999999999999,0.8660254037844387,0.8660254037844387,-0.4999999999999998
1900-01-01 18:18:00,Sales,Product Sale,100009,57,200009,P017,iPad Pro,3,508.05,1524.15,1963.82,C001,Singapore,NEWYEAR,50,True,0,1,18,1900,MON,JAN,0.0,1.0,0.4999999999999999,0.8660254037844387,-1.0,-1.8369701987210294e-16
